survey_id,survey_label,question_id,message_id,generation,game_name,chain_name,answer,selection
1,between,37,39,2,between-category-game-a,heeh,1,4
1,between,37,39,2,between-category-game-a,heeh,1,2
1,between,37,39,2,between-category-game-a,heeh,1,4
1,between,37,39,2,between-category-game-a,heeh,1,4
1,between,37,39,2,between-category-game-a,heeh,1,1
1,between,37,39,2,between-category-game-a,heeh,1,4
1,between,37,39,2,between-category-game-a,heeh,1,1
1,between,37,39,2,between-category-game-a,heeh,1,1
1,between,19,134,3,between-category-game-a,frip,4,2
1,between,19,134,3,between-category-game-a,frip,4,4
1,between,19,134,3,between-category-game-a,frip,4,3
1,between,19,134,3,between-category-game-a,frip,4,3
1,between,19,134,3,between-category-game-a,frip,4,4
1,between,19,134,3,between-category-game-a,frip,4,4
1,between,19,134,3,between-category-game-a,frip,4,4
1,between,36,37,2,between-category-game-a,heeh,1,2
1,between,36,37,2,between-category-game-a,heeh,1,1
1,between,36,37,2,between-category-game-a,heeh,1,1
1,between,36,37,2,between-category-game-a,heeh,1,2
1,between,36,37,2,between-category-game-a,heeh,1,1
1,between,36,37,2,between-category-game-a,heeh,1,1
1,between,36,37,2,between-category-game-a,heeh,1,1
1,between,36,37,2,between-category-game-a,heeh,1,1
1,between,36,37,2,between-category-game-a,heeh,1,1
1,between,36,37,2,between-category-game-a,heeh,1,2
1,between,36,37,2,between-category-game-a,heeh,1,1
1,between,36,37,2,between-category-game-a,heeh,1,1
1,between,36,37,2,between-category-game-a,heeh,1,1
1,between,93,25,1,between-category-game-a,splish,3,3
1,between,93,25,1,between-category-game-a,splish,3,3
1,between,93,25,1,between-category-game-a,splish,3,3
1,between,93,25,1,between-category-game-a,splish,3,3
1,between,93,25,1,between-category-game-a,splish,3,3
1,between,93,25,1,between-category-game-a,splish,3,3
1,between,93,25,1,between-category-game-a,splish,3,3
1,between,93,25,1,between-category-game-a,splish,3,1
1,between,30,9,1,between-category-game-a,heeh,1,1
1,between,30,9,1,between-category-game-a,heeh,1,4
1,between,30,9,1,between-category-game-a,heeh,1,1
1,between,30,9,1,between-category-game-a,heeh,1,1
1,between,30,9,1,between-category-game-a,heeh,1,1
1,between,30,9,1,between-category-game-a,heeh,1,2
1,between,30,9,1,between-category-game-a,heeh,1,1
1,between,30,9,1,between-category-game-a,heeh,1,1
1,between,30,9,1,between-category-game-a,heeh,1,2
1,between,30,9,1,between-category-game-a,heeh,1,1
1,between,30,9,1,between-category-game-a,heeh,1,1
1,between,30,9,1,between-category-game-a,heeh,1,1
1,between,30,9,1,between-category-game-a,heeh,1,1
1,between,1,13,1,between-category-game-a,frip,4,1
1,between,1,13,1,between-category-game-a,frip,4,4
1,between,1,13,1,between-category-game-a,frip,4,4
1,between,1,13,1,between-category-game-a,frip,4,4
1,between,1,13,1,between-category-game-a,frip,4,4
1,between,1,13,1,between-category-game-a,frip,4,4
1,between,53,97,4,between-category-game-a,heeh,1,3
1,between,53,97,4,between-category-game-a,heeh,1,2
1,between,53,97,4,between-category-game-a,heeh,1,1
1,between,53,97,4,between-category-game-a,heeh,1,3
1,between,53,97,4,between-category-game-a,heeh,1,3
1,between,53,97,4,between-category-game-a,heeh,1,3
1,between,53,97,4,between-category-game-a,heeh,1,3
1,between,53,97,4,between-category-game-a,heeh,1,2
1,between,53,97,4,between-category-game-a,heeh,1,1
1,between,53,97,4,between-category-game-a,heeh,1,1
1,between,53,97,4,between-category-game-a,heeh,1,4
1,between,53,97,4,between-category-game-a,heeh,1,2
1,between,53,97,4,between-category-game-a,heeh,1,4
1,between,53,97,4,between-category-game-a,heeh,1,4
1,between,53,97,4,between-category-game-a,heeh,1,3
1,between,108,40,2,between-category-game-a,splish,3,3
1,between,108,40,2,between-category-game-a,splish,3,2
1,between,108,40,2,between-category-game-a,splish,3,3
1,between,108,40,2,between-category-game-a,splish,3,3
1,between,108,40,2,between-category-game-a,splish,3,3
1,between,108,40,2,between-category-game-a,splish,3,3
1,between,108,40,2,between-category-game-a,splish,3,3
1,between,108,40,2,between-category-game-a,splish,3,3
1,between,108,40,2,between-category-game-a,splish,3,3
1,between,108,40,2,between-category-game-a,splish,3,3
1,between,97,52,1,between-category-game-a,splish,3,2
1,between,97,52,1,between-category-game-a,splish,3,3
1,between,97,52,1,between-category-game-a,splish,3,4
1,between,97,52,1,between-category-game-a,splish,3,2
1,between,97,52,1,between-category-game-a,splish,3,3
1,between,97,52,1,between-category-game-a,splish,3,3
1,between,97,52,1,between-category-game-a,splish,3,3
1,between,97,52,1,between-category-game-a,splish,3,1
1,between,97,52,1,between-category-game-a,splish,3,3
1,between,33,24,2,between-category-game-a,heeh,1,1
1,between,33,24,2,between-category-game-a,heeh,1,2
1,between,33,24,2,between-category-game-a,heeh,1,4
1,between,33,24,2,between-category-game-a,heeh,1,1
1,between,33,24,2,between-category-game-a,heeh,1,1
1,between,33,24,2,between-category-game-a,heeh,1,1
1,between,33,24,2,between-category-game-a,heeh,1,1
1,between,33,24,2,between-category-game-a,heeh,1,1
1,between,33,24,2,between-category-game-a,heeh,1,1
1,between,33,24,2,between-category-game-a,heeh,1,1
1,between,33,24,2,between-category-game-a,heeh,1,4
1,between,33,24,2,between-category-game-a,heeh,1,4
1,between,33,24,2,between-category-game-a,heeh,1,1
1,between,33,24,2,between-category-game-a,heeh,1,1
1,between,33,24,2,between-category-game-a,heeh,1,3
1,between,33,24,2,between-category-game-a,heeh,1,1
1,between,33,24,2,between-category-game-a,heeh,1,1
1,between,33,24,2,between-category-game-a,heeh,1,4
1,between,32,21,1,between-category-game-a,heeh,1,1
1,between,32,21,1,between-category-game-a,heeh,1,4
1,between,32,21,1,between-category-game-a,heeh,1,3
1,between,32,21,1,between-category-game-a,heeh,1,1
1,between,32,21,1,between-category-game-a,heeh,1,4
1,between,32,21,1,between-category-game-a,heeh,1,1
1,between,32,21,1,between-category-game-a,heeh,1,2
1,between,32,21,1,between-category-game-a,heeh,1,2
1,between,32,21,1,between-category-game-a,heeh,1,4
1,between,32,21,1,between-category-game-a,heeh,1,4
1,between,32,21,1,between-category-game-a,heeh,1,2
1,between,32,21,1,between-category-game-a,heeh,1,1
1,between,32,21,1,between-category-game-a,heeh,1,2
1,between,32,21,1,between-category-game-a,heeh,1,1
1,between,32,21,1,between-category-game-a,heeh,1,4
1,between,32,21,1,between-category-game-a,heeh,1,1
1,between,32,21,1,between-category-game-a,heeh,1,1
1,between,111,44,3,between-category-game-a,splish,3,3
1,between,111,44,3,between-category-game-a,splish,3,4
1,between,111,44,3,between-category-game-a,splish,3,3
1,between,111,44,3,between-category-game-a,splish,3,3
1,between,111,44,3,between-category-game-a,splish,3,3
1,between,111,44,3,between-category-game-a,splish,3,3
1,between,77,68,4,between-category-game-a,riri,2,1
1,between,77,68,4,between-category-game-a,riri,2,4
1,between,77,68,4,between-category-game-a,riri,2,2
1,between,77,68,4,between-category-game-a,riri,2,4
1,between,77,68,4,between-category-game-a,riri,2,1
